part_name,part_id,mpn_id,part_price,install_difficulty,install_time,symptoms,product_types,brand,availability,product_url
Refrigerator Door Shelf Bin,PS12364199,242126602,43.00,Really Easy ,15 - 30 mins ,N/A,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS12364199-Frigidaire-242126602-Refrigerator-Door-Shelf-Bin.htm?SourceCode=18
Refrigerator Door Shelf Retainer Bar,PS734935,240534901,47.36,Really Easy ,Less than 15 mins ,Door won’t open or close | Leaking,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS734935-Frigidaire-240534901-Door-Shelf-Retainer-Bar.htm?SourceCode=18
Refrigerator Door Shelf Retainer Bar,PS734936,240534701,,Really Easy ,Less than 15 mins ,Door won’t open or close,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS734936-Frigidaire-240534701-Door-Shelf-Retainer-Bar.htm?SourceCode=18
Refrigerator Front Crisper Cover Support,PS2358880,241993101,,Really Easy ,15 - 30 mins ,Door won’t open or close,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS2358880-Frigidaire-241993101-Front-Crisper-Cover-Support.htm?SourceCode=18
Refrigerator Door Bin,PS429724,240323001,,Easy ,Less than 15 mins ,Ice maker not making ice | Door won’t open or close | Noisy | Ice maker won’t dispense ice,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS429724-Frigidaire-240323001-Refrigerator-Door-Bin.htm?SourceCode=18
Refrigerator Door Bin,PS11752778,WPW10321304,,Really Easy ,Less than 15 mins ,Door won’t open or close | Ice maker won’t dispense ice | Leaking,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11752778-Whirlpool-WPW10321304-Refrigerator-Door-Bin.htm?SourceCode=18
Refrigerator Door Shelf Retainer Bin,PS429868,240337901,,Really Easy ,Less than 15 mins ,Door won’t open or close | Noisy | Touchpad does not respond,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS429868-Frigidaire-240337901-Refrigerator-Door-Shelf-Retainer-Bin.htm?SourceCode=18
Refrigerator Door Bin (clear),PS430122,240356402,,Really Easy ,15 - 30 mins ,N/A,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS430122-Frigidaire-240356402-Door-Bin-Clear.htm?SourceCode=18
Refrigerator Door Shelf Bin,PS429871,240338001,,Really Easy ,Less than 15 mins ,Door won’t open or close | Noisy,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS429871-Frigidaire-240338001-Refrigerator-Door-Shelf-Bin.htm?SourceCode=18
Refrigerator Door Rack,PS735091,240535101,,Really Easy ,Less than 15 mins ,Door won’t open or close,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS735091-Frigidaire-240535101-Door-Rack.htm?SourceCode=18
Refrigerator Drawer Support Rail (right Side),PS430917,240530701,,Really Easy ,Less than 15 mins ,Door won’t open or close,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS430917-Frigidaire-240530701-Drawer-Support-Rail-Right-Side.htm?SourceCode=18
Refrigerator Crisper Drawer W/humidity Control,PS11739119,WP2188656,,Easy ,Less than 15 mins ,Door won’t open or close | Ice maker not making ice | Leaking | Ice maker won’t dispense ice,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11739119-Whirlpool-WP2188656-Refrigerator-Crisper-Drawer-w-Humidity-Control.htm?SourceCode=18
Refrigerator Crisper Pan,PS429854,240337103,,Really Easy ,Less than 15 mins ,Door won’t open or close | Leaking,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS429854-Frigidaire-240337103-Refrigerator-Crisper-Pan.htm?SourceCode=18
Refrigerator Center Crisper Rail (white),PS11757048,WPW10671238,,Really Easy ,Less than 15 mins ,Door won’t open or close | Noisy | Leaking | Fridge too cold,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11757048-Whirlpool-WPW10671238-Refrigerator-Center-Crisper-Rail-White.htm?SourceCode=18
Refrigerator Pantry End Cap Kit,PS11738134,W10874836,,Really Easy ,15 - 30 mins ,Door won’t open or close | Fridge too cold | Noisy,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11738134-Whirlpool-W10874836-Refrigerator-Pantry-End-Cap-Kit.htm?SourceCode=18
Refrigerator Meat/vegetable Drawer W/handle,PS11739122,WP2188664,,Really Easy ,15 - 30 mins ,Door won’t open or close | Leaking,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11739122-Whirlpool-WP2188664-Refrigerator-Meat-Vegetable-Drawer-w-Handle.htm?SourceCode=18
Refrigerator Center Rail,PS11752912,WPW10326469,,Really Easy ,Less than 15 mins ,Door won’t open or close | Noisy,Refrigerator.,Whirlpool,In Stock,https://www.partselect.com/PS11752912-Whirlpool-WPW10326469-Refrigerator-Center-Rail.htm?SourceCode=18
Refrigerator Drawer Support Rail (left Side),PS430916,240530601,,Really Easy ,15 - 30 mins ,Door won’t open or close,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS430916-Frigidaire-240530601-Drawer-Support-Rail-Left-Side.htm?SourceCode=18
Refrigerator Snack Pan Shelf,PS12744172,WR72X31124,,Really Easy ,Less than 15 mins ,N/A,Refrigerator.,GE,In Stock,https://www.partselect.com/PS12744172-GE-WR72X31124-Snack-Pan-Shelf.htm?SourceCode=18
Refrigerator Crisper Drawer Cover,PS12071129,5304508067,,Easy ,30 - 60 mins ,Door won’t open or close,Refrigerator.,Frigidaire,In Stock,https://www.partselect.com/PS12071129-Frigidaire-5304508067-Refrigerator-Crisper-Drawer-Cover.htm?SourceCode=18
